Unnamed: 0,Unnamed: 0.1,url_meeting,url,paragraph_number,paragraph,corridor,daily,Year,Month,Conference,Location,Link,Dailies?,COMMENTS,institution,mentioned_countries
78,78,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,78,"Regarding the statement that “increased extreme events have pushed millions of people into acute food and water insecurity, particularly in Africa, Asia, Central and South America, Small Islands and the Arctic,” the RUSSIAN FEDERATION said this statement does not reflect the situation in the Russian Arctic. He called for qualifying the statement in relation to the Arctic or adding a footnote specifying that the Russian Federation disagrees with this statement. Following further discussions, delegates approved text distinguishing between acute food insecurity (with a footnote defining acute food insecurity) and reduced water security, “with the largest impacts observed in many locations and/or communities in Africa, Asia, Central and South America, Small Islands and the Arctic.” ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['Russian Federation']
118,118,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,118,"BELGIUM pointed to additional errors in the paragraph relating to the figures on the extinction of species. The authors affirmed that the paragraph and the figures are correct, noting their assessment as expressed in the underlying report and the SPM is based on a greatly updated database, consistent and improved information on tens of thousands of species, and more than triple the number of studies. BELGIUM agreed to approve the text if a footnote is included stating their concerns. Following further consultations, the authors stood by their assessment and Co-Chair Pörtner asked Belgium to follow the IPCC’s error protocol and withdraw the proposed footnote. FINLAND, NORWAY, IRELAND, and LUXEMBOURG supported resolving the issue through the error protocol. BELGIUM agreed to withdraw its proposed footnote and provide written input to trigger the error protocol if the issue could be addressed prior to the publication of the SYR. ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['Belgium']
233,233,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,233,"INDIA said accelerating “implementation” of adaptation was too narrow and preferred accelerating adaptation. NORWAY supported the point raised by India, noting implementation might not include research, for example, which also requires finance. He said the original formulation did not include mention of implementation. ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['India']
296,296,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,296,"Thanking everyone for their concern and support, UKRAINE stressed that climate change and the war in her country had the same roots in fossil fuel dependence. She expressed regret that the news about the war would compete with the IPCC report and hoped that the world would not surrender in trying to build a climate-resilient future in the same way that Ukraine will not surrender. She also said Ukraine’s delegation would continue to contribute to the IPCC at WGIII despite having now been forced to leave their homes. ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['Ukraine']
297,297,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,297,"The RUSSIAN FEDERATION thanked Ukraine and presented an apology on behalf of Russians who were not able to prevent the conflict, saying they “failed to find any justification for the attack.” He also expressed “huge admiration” for the Ukrainian delegation who had continued to work and express itself during this time. ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['Ukraine']
298,298,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,298,"In their closing statements, delegates expressed solidarity with Ukraine and thanked the WGII Co-Chairs, interpreters, the IPCC Secretariat’s information technology team, and others for their support at a challenging meeting. BELGIUM and CANADA called for much shorter reports. TRINIDAD AND TOBAGO and SAINT KITTS AND NEVIS expressed disappointment with the SPM’s lack of a clear statement and numbers on the damages to SIDS’ economies, given the existential risk that climate change presents to them and the policy-relevant nature of this information. CANADA welcomed the participation of the Inuit Circumpolar Council as the first Indigenous Peoples’ organization to hold observer status in the IPCC. In response to a question by the NETHERLANDS on the limited participation of observer organizations, Secretary Mokssit assured the Panel of the Secretariat’s commitment to ensuring an equal chance of participation of both delegations and observer organizations.",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['Ukraine']
301,301,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,301,"SOUTH AFRICA thanked Germany, Norway, and New Zealand for providing support for establishing a TSU in South Africa. He expressed hope that the model implemented in South Africa could be replicated in other countries in the Global South. He also looked forward to the special report on cities. ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,"['Germany', 'New Zealand', 'Norway', 'South Africa']"
304,304,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,304,"For two weeks, delegates and scientists worked remotely together in front of their computers to go through the Intergovernmental Panel on Climate Change (IPCC) Working Group II (WGII) contribution to the Sixth Assessment Report (AR6) and approve its Summary for Policymakers (SPM), assessing the latest science on the impacts of climate change, vulnerability, and adaptation possibilities. Outside the meeting, there was no good news to be found: war had broken out in Ukraine, energy prices—particularly for oil— were soaring, and many feared further price hikes and even more conflict. Greenhouse gas emissions, after decreasing during the first year of the COVID-19 pandemic, were also increasing, and were expected to continue to do so given renewed investment in coal-fired power plants and fossil fuels amid concerns about energy security. All the while, extreme events and reports of the negative impacts of climate change on species and ecosystems continued unabated. The world is seemingly further away from international collaboration and effective climate change action than even a few months ago.",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['Ukraine']
319,0,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,0,"The 12th session of Working Group I (WGI) of the Intergovernmental Panel on Climate Change (IPCC) and the 36th session of the IPCC were held from 23-26 September 2013 in Stockholm, Sweden. The meeting was attended by more than 400 participants, including representatives from governments, the United Nations, and intergovernmental and observer organizations, and drew worldwide media attention.",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,['Sweden']
327,8,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,8,"The IPCC Bureau is elected by the Panel for the duration of the preparation of an IPCC assessment report (approximately six years). Its role is to assist the IPCC Chair in planning, coordinating and monitoring the work of the IPCC. The Bureau is composed of climate change experts representing all regions. Currently, the Bureau comprises 31 members: the Chair of the IPCC, the Co-Chairs of the three WGs and the Bureau of the TFI (TFB), the IPCC Vice-Chairs, and the Vice-Chairs of the three WGs. In addition to the Bureau, in 2011 the IPCC established an Executive Committee to assist with intersessional work and coordination among WGs. The Committee consists of the IPCC Chair, WG and TFB Co-Chairs, IPCC Vice-Chairs, and advisory members which include the Head of the Secretariat and four Heads of TSUs. The IPCC Secretariat is located in Geneva, Switzerland, and is hosted by the WMO.",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,['Switzerland']
334,15,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,15,"IPCC-28: This session was held from 9-10 April 2008, in Budapest, Hungary, with discussions centering on the future of the IPCC, including key aspects of its work programme, such as WG structure, type and timing of future reports, and the future structure of the IPCC Bureau and the TFB. The IPCC agreed to prepare the AR5 and to retain the current structure of its WGs. In order to enable significant use of new scenarios in the AR5, the Panel requested the Bureau to ensure delivery of the WGI report by early 2013 and completion of the other WG reports and the SYR at the earliest feasible date in 2014. The Panel also agreed to complete the SRREN Report by 2010. ",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,['Hungary']
335,16,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,16,"IPCC-29: This session, which commemorated the IPCC’s 20th anniversary, was held from 31 August to 4 September 2008 in Geneva, Switzerland. At this time, the Panel elected the new IPCC Bureau and the TFB, and re-elected Rajendra Pachauri (India) as IPCC Chair. The Panel also continued discussions on the future of the IPCC and agreed to create a scholarship fund for young climate change scientists from developing countries with the funds from the Nobel Peace Prize. It also asked the Bureau to consider a scoping meeting on the SREX, which took place from 23-26 March 2009 in Oslo, Norway. ",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,"['Switzerland', 'Norway', 'India']"
336,17,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,17,"IPCC-30: This session was held from 21-23 April 2009 in Antalya, Turkey. At the meeting, the Panel focused mainly on the near-term future of the IPCC and provided guidance for an AR5 scoping meeting, which was held in Venice, Italy, from 13-17 July 2009.",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,"['Turkey', 'Italy']"
337,18,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,18,"IPCC-31: This session was held from 26-29 October 2009 in Bali, Indonesia. Discussions focused on approving the proposed AR5 chapter outlines developed by participants at the Venice scoping meeting. The Panel also considered progress on the implementation of decisions taken at IPCC-30 regarding the involvement of scientists from developing countries and countries with economies in transition, use of electronic technologies, and the longer-term future of the IPCC. ",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,['Indonesia']
340,21,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,21,"SRREN: The eleventh session of WGIII met from 5-8 May 2011 in Abu Dhabi, United Arab Emirates, and endorsed the SRREN and its SPM. Discussions focused, inter alia, on chapters addressing sustainable development, biomass and policy. Key findings of the SRREN include that the technical potential for renewable energies is substantially higher than projected future energy demand, and that renewable energies play a crucial role in all mitigation scenarios.",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,['United Arab Emirates']
341,22,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,22,"IPCC-33: The session, held from 10-13 May 2011 in Abu Dhabi, United Arab Emirates, focused primarily on follow-up actions to the IAC Review of the IPCC processes and procedures. The Panel decided to establish an Executive Committee, adopted a COI Policy, and introduced several changes to the procedures for IPCC reports. The Panel also endorsed the actions of WGIII in relation to SRREN and its SPM, and considered progress on the AR5. ",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,['United Arab Emirates']
342,23,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,23,"SREX: The first joint session of IPCC WGs I and II, which took place from 14-17 November 2011 in Kampala, Uganda, accepted the SREX and approved its SPM. The SREX addressed the interaction of climatic, environmental and human factors leading to adverse impacts of climate extremes and disasters, options for managing the risks posed by impacts and disasters, and the important role that non-climatic factors play in determining impacts.",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,['Uganda']
343,24,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,24,"IPCC-34: The meeting, held from 18-19 November 2011 in Kampala, Uganda, focused on follow-up actions to the IAC Review of the IPCC processes and procedures, namely in relation to procedures, COI policy, and communications strategy. The Panel adopted the revised Procedures for the Preparation, Review, Acceptance, Adoption, Approval and Publication of IPCC Reports, as well as the Implementation Procedures and Disclosure Form for the COI Policy. The Panel also formally accepted the SPM of the SREX, which was approved by WGs I and II at their joint meeting held prior to IPCC-34.",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,['Uganda']
344,25,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,25,"IPCC-35: This session took place from 6-9 June 2012 in Geneva, Switzerland. The meeting concluded the Panel’s consideration of the recommendations from the IAC Review by approving the functions of the IPCC Secretariat and TSUs, and the Communications Strategy. Delegates also agreed to revisions to the Procedures for the IPCC Reports, and the Procedures for the Election of the IPCC Bureau and Any Task Force Bureau.",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,['Switzerland']
346,27,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,27,"On Monday morning, WGI Co-Chair Thomas Stocker (Switzerland) opened the session. WGI Co-Chair Qin Dahe (China) said that the latest findings collected in AR5 reflect the most recent understanding of climate change and will be used as a major scientific basis for policy making by governments. He noted that whereas new evidence contains fewer uncertainties than in the past, some still remain.",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,"['China', 'Switzerland']"
352,33,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,33,"Lena Ek, Minister for the Environment, Sweden, welcomed participants, recalling the 40th anniversary of the International Conference on the Human Environment in Stockholm celebrated in 2012. She underscored that the effects of climate change can already be seen in the Nordic countries, and announced the launch of “The New Climate Economy” initiative on 24 September 2013 in New York.",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,['Sweden']
356,37,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,37,"A. INTRODUCTION: This section was addressed on Monday, 23 September. On the first sentence stating that the WGI report considers evidence of past and future climate change based on many independent scientific analyses from observations of the climate system, paleoclimate archives, theoretical studies of climate processes, and simulations using climate models, Saudi Arabia proposed clarifying that evidence of future climate change is based on models and simulations only. Australia suggested deleting “past and future,” and others agreed.",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,"['Australia', 'Saudi Arabia']"
357,38,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,38,"Concerning the evidence that the key findings of the report are based on, Saudi Arabia suggested adding “assumptions” or “scientific assumptions” to the list. The addition of “scientific assumptions” was supported by Brazil and opposed by Austria, Canada, Germany and Belgium. The latter underscored that assumptions are already implicitly included in the already-listed theory, models and expert judgement. The Group rejected the insertion.",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,"['Germany', 'Belgium', 'Canada', 'Brazil', 'Saudi Arabia', 'Austria']"
360,41,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,41,"On the headline statement, which states that warming of the climate system is unequivocal and, since 1950, many of the observed changes are unprecedented over decades to millennia, Saudi Arabia said the statement was “alarmist,” urged qualifying the terms “unequivocal” and “unprecedented,” requested using the year 1850 instead of 1950, and called for a reference to slowed warming over the past 15 years.",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,['Saudi Arabia']
361,42,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,42,"Germany, Australia, Chile, Spain, Fiji, New Zealand, the US, Saint Lucia, Tanzania, Mexico, Slovenia, the UK and others supported the statement as presented, with Germany pointing out that AR4 concluded almost the same. Canada pointed out that factors other than warming will be the emphasis in the future. The Russian Federation proposed “changing,” rather than warming of the climate system. After some discussion, Saudi Arabia agreed to accept the statement as presented.",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,"['Germany', 'Fiji', 'Saint Lucia', 'Australia', 'New Zealand', 'Spain', 'Slovenia', 'Mexico', 'Canada', 'Saudi Arabia', 'Chile', 'Russian Federation']"
362,43,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36/summary-report-23-26,43,"Atmosphere: Addressing the keynote statement to the sub-section, Germany, supported by Belgium and Ireland, argued for an opening sentence singling out the fact that the first decade of the 21st century has been the warmest decade since 1850. The WG Co-Chairs and CLAs suggested focusing on 30-year time periods due to the multi-decadal nature of global warming. Canada proposed adding the word “successively” for the sentence to read that: “Each of the last three decades has been successively warmer at the Earth’s surface than any preceding decade since 1850.” This language was supported by the CLAs, Slovenia, the US, Austria, the Netherlands, New Zealand, and Trinidad and Tobago, and eventually accepted.",0,False,2013,September,IPCC 36,Stockholm,https://enb.iisd.org/events/12th-session-ipcc-working-group-i-wgi-and-36th-session-ipcc-ipcc-36,n,,IPCC,"['Germany', 'New Zealand', 'Belgium', 'Slovenia', 'Canada', 'Ireland', 'Netherlands', 'Austria', 'Trinidad and Tobago']"
